Loaded TRU codes: 3435
[84/3435] 259411.900.000067: parsed=0 listed_total=0 aggregate_rows=14
[85/3435] 259411.900.000148: parsed=0 listed_total=0 aggregate_rows=14
[86/3435] 259411.900.000113: parsed=0 listed_total=0 aggregate_rows=14
[87/3435] 259411.900.000107: parsed=0 listed_total=0 aggregate_rows=14
[88/3435] 259411.900.000106: parsed=0 listed_total=0 aggregate_rows=14
[89/3435] 259411.900.000114: parsed=0 listed_total=0 aggregate_rows=14
[90/3435] 259411.900.000112: parsed=0 listed_total=0 aggregate_rows=14
[91/3435] 259411.900.000115: parsed=0 listed_total=0 aggregate_rows=14
[92/3435] 259411.900.000109: parsed=0 listed_total=0 aggregate_rows=14
[93/3435] 259411.900.000105: parsed=0 listed_total=0 aggregate_rows=14
[94/3435] 259411.900.000108: parsed=0 listed_total=0 aggregate_rows=14
[95/3435] 259411.900.000103: parsed=0 listed_total=0 aggregate_rows=14
[96/3435] 259411.900.000110: parsed=0 listed_total=0 aggregate_rows=14
[97/3435] 259411.900.000101: parsed=0 listed_total=0 aggregate_rows=14
[98/3435] 259411.900.000209: parsed=0 listed_total=0 aggregate_rows=14
[99/3435] 259411.900.000212: parsed=0 listed_total=0 aggregate_rows=14
[100/3435] 259411.900.000211: parsed=0 listed_total=0 aggregate_rows=14
[101/3435] 259411.900.000210: parsed=0 listed_total=0 aggregate_rows=14
[102/3435] 259411.900.000213: parsed=0 listed_total=0 aggregate_rows=14
[103/3435] 259411.900.000089: parsed=0 listed_total=0 aggregate_rows=14
[104/3435] 259411.900.000088: parsed=0 listed_total=0 aggregate_rows=14
[105/3435] 259411.900.000090: parsed=0 listed_total=0 aggregate_rows=14
[106/3435] 259411.900.000087: parsed=0 listed_total=0 aggregate_rows=14
[107/3435] 259411.900.000102: parsed=0 listed_total=0 aggregate_rows=14
[108/3435] 259411.900.000084: parsed=0 listed_total=0 aggregate_rows=14
[109/3435] 259411.900.000111: parsed=0 listed_total=0 aggregate_rows=14
[110/3435] 259411.900.000081: parsed=0 listed_total=0 aggregate_rows=14
[111/3435] 259411.900.000083: parsed=0 listed_total=0 aggregate_rows=14
[112/3435] 259411.900.000094: parsed=0 listed_total=0 aggregate_rows=14
[113/3435] 259411.900.000093: parsed=0 listed_total=0 aggregate_rows=14
[114/3435] 259411.900.000091: parsed=0 listed_total=0 aggregate_rows=14
[115/3435] 259411.900.000085: parsed=0 listed_total=0 aggregate_rows=14
[116/3435] 259411.900.000080: parsed=0 listed_total=0 aggregate_rows=14
[117/3435] 259411.900.000082: parsed=0 listed_total=0 aggregate_rows=14
[118/3435] 259411.900.000086: parsed=0 listed_total=0 aggregate_rows=14
[119/3435] 259411.900.000092: parsed=0 listed_total=0 aggregate_rows=14
[120/3435] 259411.900.000157: parsed=0 listed_total=0 aggregate_rows=14
[121/3435] 259411.900.000156: parsed=0 listed_total=0 aggregate_rows=14
[122/3435] 259411.900.000159: parsed=0 listed_total=0 aggregate_rows=14
[123/3435] 259411.900.000204: parsed=0 listed_total=0 aggregate_rows=14
[124/3435] 281413.350.000006: parsed=2 listed_total=2 aggregate_rows=16
[125/3435] 259411.900.000095: parsed=0 listed_total=0 aggregate_rows=16
[126/3435] 281413.730.000016: parsed=2 listed_total=2 aggregate_rows=18
[127/3435] 281413.900.000105: parsed=0 listed_total=0 aggregate_rows=18
[128/3435] 281413.390.000001: parsed=0 listed_total=0 aggregate_rows=18
[129/3435] 281411.390.000001: parsed=0 listed_total=0 aggregate_rows=18
[130/3435] 283092.000.000003: parsed=0 listed_total=0 aggregate_rows=18
[131/3435] 282218.500.000005: parsed=0 listed_total=0 aggregate_rows=18
[132/3435] 289228.000.000001: parsed=0 listed_total=0 aggregate_rows=18
[133/3435] 283051.500.000000: parsed=2 listed_total=2 aggregate_rows=20
[134/3435] 281314.900.000135: parsed=1 listed_total=1 aggregate_rows=21
[135/3435] 259411.900.000155: parsed=0 listed_total=0 aggregate_rows=21
[136/3435] 274039.900.000058: parsed=13 listed_total=13 aggregate_rows=34
[137/3435] 283052.350.000000: parsed=0 listed_total=0 aggregate_rows=34
[138/3435] 282913.500.000001: parsed=1 listed_total=1 aggregate_rows=35
[139/3435] 265153.900.000109: parsed=0 listed_total=0 aggregate_rows=35
[140/3435] 275125.900.000008: parsed=0 listed_total=0 aggregate_rows=35
[141/3435] 265166.990.000025: parsed=0 listed_total=0 aggregate_rows=35
[142/3435] 265170.900.000001: parsed=0 listed_total=0 aggregate_rows=35
[143/3435] 265165.000.000011: parsed=0 listed_total=0 aggregate_rows=35
[144/3435] 281420.000.000091: parsed=0 listed_total=0 aggregate_rows=35
[145/3435] 281413.350.000001: parsed=0 listed_total=0 aggregate_rows=35
[146/3435] 281413.350.000002: parsed=0 listed_total=0 aggregate_rows=35
[147/3435] 262015.000.000018: parsed=1 listed_total=1 aggregate_rows=36
[148/3435] 282922.100.000004: parsed=0 listed_total=0 aggregate_rows=36
[149/3435] 282922.100.000001: parsed=0 listed_total=0 aggregate_rows=36
[150/3435] 325021.800.000017: parsed=0 listed_total=0 aggregate_rows=36
[151/3435] 282922.100.000000: parsed=0 listed_total=0 aggregate_rows=36
[152/3435] 289261.500.000332: parsed=0 listed_total=0 aggregate_rows=36
[153/3435] 309220.300.000001: parsed=1 listed_total=1 aggregate_rows=37
[154/3435] 281141.900.000092: parsed=0 listed_total=0 aggregate_rows=37
[155/3435] 302040.300.000414: parsed=0 listed_total=0 aggregate_rows=37
[156/3435] 273111.300.000001: parsed=0 listed_total=0 aggregate_rows=37
[157/3435] 273111.300.000007: parsed=0 listed_total=0 aggregate_rows=37
[158/3435] 273111.300.000003: parsed=0 listed_total=0 aggregate_rows=37
[159/3435] 273111.300.000002: parsed=0 listed_total=0 aggregate_rows=37
[160/3435] 262013.000.000023: parsed=1 listed_total=1 aggregate_rows=38
[161/3435] 281413.900.000106: parsed=1 listed_total=1 aggregate_rows=39
[162/3435] 262013.000.000022: parsed=6 listed_total=6 aggregate_rows=45
[163/3435] 262013.000.000017: parsed=1 listed_total=1 aggregate_rows=46
[164/3435] 262013.000.000018: parsed=24 listed_total=24 aggregate_rows=70
[165/3435] 262013.000.000019: parsed=0 listed_total=0 aggregate_rows=70
[166/3435] 262013.000.000021: parsed=4 listed_total=4 aggregate_rows=74
[167/3435] 262013.000.000016: parsed=11 listed_total=11 aggregate_rows=85
[168/3435] 262013.000.000020: parsed=4 listed_total=4 aggregate_rows=89
[169/3435] 281413.730.000001: parsed=3 listed_total=3 aggregate_rows=92
[170/3435] 271231.900.000056: parsed=0 listed_total=0 aggregate_rows=92
[171/3435] 271231.900.000070: parsed=3 listed_total=3 aggregate_rows=95
[172/3435] 271231.900.000059: parsed=2 listed_total=2 aggregate_rows=97
[173/3435] 271232.900.000001: parsed=0 listed_total=0 aggregate_rows=97
[174/3435] 271231.900.000040: parsed=0 listed_total=0 aggregate_rows=97
[175/3435] 271232.900.000003: parsed=0 listed_total=0 aggregate_rows=97
[176/3435] 264020.900.000010: parsed=0 listed_total=0 aggregate_rows=97
[177/3435] 275125.900.000001: parsed=0 listed_total=0 aggregate_rows=97
[178/3435] 275121.100.000000: parsed=0 listed_total=0 aggregate_rows=97
[179/3435] 302040.300.000790: parsed=0 listed_total=0 aggregate_rows=97
