№ лота,Код ТРУ,Наименование товара,Наименование объявления,Наименование и описание лота,Кол-во,"Сумма, тг.",Способ закупки,Статус
81286374-ЗЖ1,243411.700,Проволока (сталь),15786423-1 Приобретение квартиры многоэтажном жилом доме для малообеспеченным семьям с.Аса Жамбылского района Жамбылской области,Квартира,1,21 000 000.00,Закупка жилища,Закупка состоялась
81286378-ЗЖ1,243411.700,Проволока (сталь),15786423-1 Приобретение квартиры многоэтажном жилом доме для малообеспеченным семьям с.Аса Жамбылского района Жамбылской области,Квартира,1,21 000 000.00,Закупка жилища,Закупка состоялась
81286384-ЗЖ1,243411.700,Проволока (сталь),15786423-1 Приобретение квартиры многоэтажном жилом доме для малообеспеченным семьям с.Аса Жамбылского района Жамбылской области,Квартира,1,21 000 000.00,Закупка жилища,Закупка состоялась
81286412-ЗЖ1,243411.700,Проволока (сталь),15786423-1 Приобретение квартиры многоэтажном жилом доме для малообеспеченным семьям с.Аса Жамбылского района Жамбылской области,Квартира,1,23 240 000.00,Закупка жилища,Закупка состоялась
81286423-ЗЖ1,243411.700,Проволока (сталь),15786423-1 Приобретение квартиры многоэтажном жилом доме для малообеспеченным семьям с.Аса Жамбылского района Жамбылской области,Квартира,1,23 240 000.00,Закупка жилища,Закупка состоялась
81286426-ЗЖ1,243411.700,Проволока (сталь),15786423-1 Приобретение квартиры многоэтажном жилом доме для малообеспеченным семьям с.Аса Жамбылского района Жамбылской области,Квартира,1,23 240 000.00,Закупка жилища,Закупка состоялась
81286431-ЗЖ1,243411.700,Проволока (сталь),15786423-1 Приобретение квартиры многоэтажном жилом доме для малообеспеченным семьям с.Аса Жамбылского района Жамбылской области,Квартира,1,23 240 000.00,Закупка жилища,Закупка состоялась
81286453-ЗЖ1,243411.700,Проволока (сталь),15786423-1 Приобретение квартиры многоэтажном жилом доме для малообеспеченным семьям с.Аса Жамбылского района Жамбылской области,Квартира,1,23 520 000.00,Закупка жилища,Закупка состоялась
81286457-ЗЖ1,243411.700,Проволока (сталь),15786423-1 Приобретение квартиры многоэтажном жилом доме для малообеспеченным семьям с.Аса Жамбылского района Жамбылской области,Квартира,1,23 520 000.00,Закупка жилища,Закупка состоялась
81286460-ЗЖ1,243411.700,Проволока (сталь),15786423-1 Приобретение квартиры многоэтажном жилом доме для малообеспеченным семьям с.Аса Жамбылского района Жамбылской области,Квартира,1,23 520 000.00,Закупка жилища,Закупка состоялась
81286464-ЗЖ1,243411.700,Проволока (сталь),15786423-1 Приобретение квартиры многоэтажном жилом доме для малообеспеченным семьям с.Аса Жамбылского района Жамбылской области,Квартира,1,23 520 000.00,Закупка жилища,Закупка состоялась
81286475-ЗЖ1,243411.700,Проволока (сталь),15786423-1 Приобретение квартиры многоэтажном жилом доме для малообеспеченным семьям с.Аса Жамбылского района Жамбылской области,Квартира,1,23 520 000.00,Закупка жилища,Закупка состоялась
81286485-ЗЖ1,243411.700,Проволока (сталь),15786423-1 Приобретение квартиры многоэтажном жилом доме для малообеспеченным семьям с.Аса Жамбылского района Жамбылской области,Квартира,1,23 520 000.00,Закупка жилища,Закупка состоялась
81286905-ЗЖ1,243411.700,Проволока (сталь),15754823-1 Приобретение квартиры в г.Кульсары/,Квартира,1,17 000 000.00,Закупка жилища,Закупка состоялась
81289770-ОК1,243411.700,Проволока (сталь),15755436-2 Мемлекеттік сатып алу,Услуги по техническому обслуживанию противопожарных средств/инвентаря/оборудования (кроме систем безопасности),1,21 723 900.00,Открытый конкурс,Закупка состоялась
81289926-ОК1,243411.700,Проволока (сталь),15766298-1 Зимнее и летнее содержание улиц города Житикара,Работы по содержанию автомобильных дорог,1,33 760 000.00,Открытый конкурс,Закупка состоялась
81293423-ОК1,243411.700,Проволока (сталь),15774522-1 Работы по текущему ремонту нежилых зданий/сооружений/помещений- Работы по текущему ремонту здания военкомата города Жанаозен,Работы по текущему ремонту нежилых зданий/сооружений/помещений,1,61 108 456.25,Открытый конкурс,Закупка состоялась
81294385-ОК1,243411.700,Проволока (сталь),"15761357-1 Государственные закупки для ГУ """"Отдел строительства Карасайского района"""" способом открытый конкурс (Приобретение кредитного жилья гражданам, состоящим в очереди на жилье в Карасайском районе Алматинской области)",Здание,1,23 616 000.00,Открытый конкурс,Закупка состоялась
81294477-ОК1,243411.700,Проволока (сталь),"15761357-1 Государственные закупки для ГУ """"Отдел строительства Карасайского района"""" способом открытый конкурс (Приобретение кредитного жилья гражданам, состоящим в очереди на жилье в Карасайском районе Алматинской области)",Здание,1,23 616 000.00,Открытый конкурс,Закупка состоялась
81294481-ОК1,243411.700,Проволока (сталь),"15761357-1 Государственные закупки для ГУ """"Отдел строительства Карасайского района"""" способом открытый конкурс (Приобретение кредитного жилья гражданам, состоящим в очереди на жилье в Карасайском районе Алматинской области)",Здание,1,23 616 000.00,Открытый конкурс,Закупка состоялась
81294486-ОК1,243411.700,Проволока (сталь),"15761357-1 Государственные закупки для ГУ """"Отдел строительства Карасайского района"""" способом открытый конкурс (Приобретение кредитного жилья гражданам, состоящим в очереди на жилье в Карасайском районе Алматинской области)",Здание,1,23 616 000.00,Открытый конкурс,Закупка состоялась
81294491-ОК1,243411.700,Проволока (сталь),"15761357-1 Государственные закупки для ГУ """"Отдел строительства Карасайского района"""" способом открытый конкурс (Приобретение кредитного жилья гражданам, состоящим в очереди на жилье в Карасайском районе Алматинской области)",Здание,1,23 616 000.00,Открытый конкурс,Закупка состоялась
81294498-ОК1,243411.700,Проволока (сталь),"15761357-1 Государственные закупки для ГУ """"Отдел строительства Карасайского района"""" способом открытый конкурс (Приобретение кредитного жилья гражданам, состоящим в очереди на жилье в Карасайском районе Алматинской области)",Здание,1,23 616 000.00,Открытый конкурс,Закупка состоялась
81294502-ОК1,243411.700,Проволока (сталь),"15761357-1 Государственные закупки для ГУ """"Отдел строительства Карасайского района"""" способом открытый конкурс (Приобретение кредитного жилья гражданам, состоящим в очереди на жилье в Карасайском районе Алматинской области)",Здание,1,23 616 000.00,Открытый конкурс,Закупка состоялась
81294505-ОК1,243411.700,Проволока (сталь),"15761357-1 Государственные закупки для ГУ """"Отдел строительства Карасайского района"""" способом открытый конкурс (Приобретение кредитного жилья гражданам, состоящим в очереди на жилье в Карасайском районе Алматинской области)",Здание,1,23 616 000.00,Открытый конкурс,Закупка состоялась
81294515-ОК1,243411.700,Проволока (сталь),"15761357-1 Государственные закупки для ГУ """"Отдел строительства Карасайского района"""" способом открытый конкурс (Приобретение кредитного жилья гражданам, состоящим в очереди на жилье в Карасайском районе Алматинской области)",Здание,1,23 616 000.00,Открытый конкурс,Закупка состоялась
81294532-ОК1,243411.700,Проволока (сталь),"15761357-1 Государственные закупки для ГУ """"Отдел строительства Карасайского района"""" способом открытый конкурс (Приобретение кредитного жилья гражданам, состоящим в очереди на жилье в Карасайском районе Алматинской области)",Здание,1,23 616 000.00,Открытый конкурс,Закупка состоялась
81294540-ОК1,243411.700,Проволока (сталь),"15761357-1 Государственные закупки для ГУ """"Отдел строительства Карасайского района"""" способом открытый конкурс (Приобретение кредитного жилья гражданам, состоящим в очереди на жилье в Карасайском районе Алматинской области)",Здание,1,23 616 000.00,Открытый конкурс,Закупка состоялась
81294552-ОК1,243411.700,Проволока (сталь),"15761357-1 Государственные закупки для ГУ """"Отдел строительства Карасайского района"""" способом открытый конкурс (Приобретение кредитного жилья гражданам, состоящим в очереди на жилье в Карасайском районе Алматинской области)",Здание,1,23 616 000.00,Открытый конкурс,Закупка состоялась
81294557-ОК1,243411.700,Проволока (сталь),"15761357-1 Государственные закупки для ГУ """"Отдел строительства Карасайского района"""" способом открытый конкурс (Приобретение кредитного жилья гражданам, состоящим в очереди на жилье в Карасайском районе Алматинской области)",Здание,1,23 616 000.00,Открытый конкурс,Закупка состоялась
81294690-ОК1,243411.700,Проволока (сталь),"15761357-1 Государственные закупки для ГУ """"Отдел строительства Карасайского района"""" способом открытый конкурс (Приобретение кредитного жилья гражданам, состоящим в очереди на жилье в Карасайском районе Алматинской области)",Здание,1,16 380 000.00,Открытый конкурс,Закупка состоялась
81294699-ОК1,243411.700,Проволока (сталь),"15761357-1 Государственные закупки для ГУ """"Отдел строительства Карасайского района"""" способом открытый конкурс (Приобретение кредитного жилья гражданам, состоящим в очереди на жилье в Карасайском районе Алматинской области)",Здание,1,16 380 000.00,Открытый конкурс,Закупка состоялась
81294711-ОК1,243411.700,Проволока (сталь),"15761357-1 Государственные закупки для ГУ """"Отдел строительства Карасайского района"""" способом открытый конкурс (Приобретение кредитного жилья гражданам, состоящим в очереди на жилье в Карасайском районе Алматинской области)",Здание,1,16 380 000.00,Открытый конкурс,Закупка состоялась
81294715-ОК1,243411.700,Проволока (сталь),"15761357-1 Государственные закупки для ГУ """"Отдел строительства Карасайского района"""" способом открытый конкурс (Приобретение кредитного жилья гражданам, состоящим в очереди на жилье в Карасайском районе Алматинской области)",Здание,1,16 380 000.00,Открытый конкурс,Закупка состоялась
81294719-ОК1,243411.700,Проволока (сталь),"15761357-1 Государственные закупки для ГУ """"Отдел строительства Карасайского района"""" способом открытый конкурс (Приобретение кредитного жилья гражданам, состоящим в очереди на жилье в Карасайском районе Алматинской области)",Здание,1,16 380 000.00,Открытый конкурс,Закупка состоялась
81294723-ОК1,243411.700,Проволока (сталь),"15761357-1 Государственные закупки для ГУ """"Отдел строительства Карасайского района"""" способом открытый конкурс (Приобретение кредитного жилья гражданам, состоящим в очереди на жилье в Карасайском районе Алматинской области)",Здание,1,16 380 000.00,Открытый конкурс,Закупка состоялась
81294731-ОК1,243411.700,Проволока (сталь),"15761357-1 Государственные закупки для ГУ """"Отдел строительства Карасайского района"""" способом открытый конкурс (Приобретение кредитного жилья гражданам, состоящим в очереди на жилье в Карасайском районе Алматинской области)",Здание,1,16 380 000.00,Открытый конкурс,Закупка состоялась
81294735-ОК1,243411.700,Проволока (сталь),"15761357-1 Государственные закупки для ГУ """"Отдел строительства Карасайского района"""" способом открытый конкурс (Приобретение кредитного жилья гражданам, состоящим в очереди на жилье в Карасайском районе Алматинской области)",Здание,1,16 380 000.00,Открытый конкурс,Закупка состоялась
81294740-ОК1,243411.700,Проволока (сталь),"15761357-1 Государственные закупки для ГУ """"Отдел строительства Карасайского района"""" способом открытый конкурс (Приобретение кредитного жилья гражданам, состоящим в очереди на жилье в Карасайском районе Алматинской области)",Здание,1,16 380 000.00,Открытый конкурс,Закупка состоялась
81294940-ОК1,243411.700,Проволока (сталь),"15761357-1 Государственные закупки для ГУ """"Отдел строительства Карасайского района"""" способом открытый конкурс (Приобретение кредитного жилья гражданам, состоящим в очереди на жилье в Карасайском районе Алматинской области)",Здание,1,16 380 000.00,Открытый конкурс,Закупка состоялась
81295320-ОК1,243411.700,Проволока (сталь),15764081-1 Услуги аэропортов по обслуживанию и наземному обеспечению воздушных судов за пределами Республики Казахстан,Услуги аэропортов по обслуживанию воздушных судов,1,69 642 857.14,Открытый конкурс,Закупка состоялась
81295648-ЗЦП1,243411.700,Проволока (сталь),15791212-1 Приобретение мини погрузчика,Погрузчик,1,15 357 142.86,Запрос ценовых предложений,Закупка состоялась
81295648-ЗЦП2,243411.700,Проволока (сталь),15859064-1 Приобретение мини погрузчика,Погрузчик,1,15 357 142.86,Запрос ценовых предложений,Закупка состоялась
81297653-ОК1,243411.700,Проволока (сталь),"15771960-1 Средний ремонт автомобильной дороги по ул.10 Лет Целины, ул.Дорожная, ул.Валиханова, переулок Ауэзова (1,4 км) в п. Камысты, Костанайской области",Работы по среднему ремонту автомобильной дороги,1,32 661 064.30,Открытый конкурс,Закупка состоялась
