№ лота,Код ТРУ,Наименование товара,Наименование объявления,Наименование и описание лота,Кол-во,"Сумма, тг.",Способ закупки,Статус
72469208-ОК1,141922.190.000003,Костюм,13445742-1 Государственная закупка товара для Актюбинского филиала РГКП «Военно - техническая школа Министерства обороны Республики Казахстан» способом открытого конкурса,Костюм,4173,105 229 664.67,Открытый конкурс,Закупка состоялась
73799233-ОК1,141922.190.000003,Костюм,15155313-1 Приобретение форменного обмундирования,Костюм,1000,50 267 860.00,Открытый конкурс,Закупка состоялась
73978261-ОК1,141922.190.000003,Костюм,14094207-1 Форменное обмундирование для ДП ВКО,Костюм,400,20 357 144.00,Открытый конкурс,Закупка состоялась
74174845-ОК1,141922.190.000003,Костюм,14123195-1 Государственные закупки форменного обмундирования для ДП города Астаны,Костюм,350,25 772 498.50,Открытый конкурс,Закупка состоялась
77710347-ЗЦП1,141922.190.000003,Костюм,14121712-1 Приобретение форменного обмундирования,Костюм,255,28 505 356.05,Запрос ценовых предложений,Закупка состоялась
79627250-ОК1,141922.190.000003,Костюм,15171319-1 Приобретение комплекта военной полевой формы (согл.тех.спец),Костюм,743,29 110 740.00,Открытый конкурс,Закупка состоялась
80554386-ОК1,141922.190.000003,Костюм,15542646-1 Приобрентение зимней военной одежды,Костюм,324,16 200 000.00,Открытый конкурс,Закупка состоялась
77495940-ОК1,141922.190.000009,Костюм,14635011-1 Спортивная форма в комплекте,Костюм,150,18 000 000.00,Открытый конкурс,Закупка состоялась
77663003-ЗЦП1,141922.190.000009,Костюм,"15090935-1 Костюм спортивный тренировочный (костюм, брюки)",Костюм,468,27 160 712.28,Запрос ценовых предложений,Закупка состоялась
73216872-ОК2,141922.190.000021,Плащ,"14399158-1 Приобретение вещевого имущества для Коммунального государственного учреждение «Служба обеспечения мобилизационной подготовки, территориальной и гражданской обороны» государственного учреждения «Управление по мобилизационной подготовке и гражданской защите Павлодарской области",Плащ,1600,16 000 000.00,Открытый конкурс,Закупка состоялась
77301292-ОК1,141922.190.000024,Плащ-накидка,14061697-1 Плащ-накидка для военнослужащих,Плащ-накидка,408,15 300 000.00,Открытый конкурс,Закупка состоялась
79200398-ОК1,141922.190.000024,Плащ-накидка,"14871920-1 Государственные закупки вещевого имущества для военнослужащих Национальной гвардии Республики Казахстан на 2025 год способом открытого конкурса (плащ для военнослужащих, несущих службу по охране общественного порядка и безопасности)",Плащ-накидка,2000,24 642 860.00,Открытый конкурс,Закупка состоялась
35093577-ОЛ-ЗЦП1,141922.190.000027,Футболка,14171999-1 Приобретение форменного обмундирования,Приобретение форменного обмундирования,15,15 271 554.55,Запрос ценовых предложений,Закупка состоялась
35633487-ОЛ-ОИ2,141922.190.000027,Футболка,14402419-1 Государственные закупки летней одежды согласно технической спецификации [144],Государственные закупки летней одежды согласно технической спецификации [144],5,15 856 311.00,Из одного источника по несостоявшимся закупкам,Закупка состоялась
77664313-ЗЦП1,141922.190.000027,Футболка,15090879-1 Приобретение футболки спортивной,Футболка,936,16 714 283.04,Запрос ценовых предложений,Закупка состоялась
73129554-ЗЦП2,141922.190.000035,Мундир,14702251-1 Приобретение форменного обмундирования,Мундир,534,17 855 625.00,Запрос ценовых предложений,Закупка состоялась
74980259-ЗЦП1,141922.190.000035,Мундир,13982039-1 Приобретение форменного обмундирования,Мундир,410,15 503 125.00,Запрос ценовых предложений,Закупка состоялась
77588387-ОК1,141922.190.000035,Мундир,14143009-1 Государственные закупки форменного обмундирования,Мундир,402,17 946 425.70,Открытый конкурс,Закупка состоялась
77946709-ОК1,141922.190.000035,Мундир,15081231-1 Приобретение форменного обмундирования,Мундир,466,15 581 875.00,Открытый конкурс,Закупка состоялась
78917669-ОК1,141922.190.000035,Мундир,14931051-1 Приобретение форменного обмундирования,Мундир,870,35 732 135.40,Открытый конкурс,Закупка состоялась
38018060-ОЛ-ЗЦП1,141922.290.000003,Костюм,15375968-1 Приобретение мягкого инвентаря,Приобретение мягкого инвентаря,22,23 150 000.00,Запрос ценовых предложений,Закупка состоялась
36340768-ОЛ-ЗЦП1,141943.990.000000,Берет,"14650446-1 Комплект нательного белья, фартук ,шапка, носки","Комплект нательного белья, фартук ,шапка, носки",15,15 434 025.24,Запрос ценовых предложений,Закупка состоялась
36340768-ОЛ-ЗЦП1,143110.900.000030,Носки,"14650446-1 Комплект нательного белья, фартук ,шапка, носки","Комплект нательного белья, фартук ,шапка, носки",15,15 434 025.24,Запрос ценовых предложений,Закупка состоялась
36338477-ОЛ-ЗЦП1,152011.200.000002,Галоши,"14649553-1 Валенки, боты, сандалии, тапочки, сапоги, галоши","Валенки, боты, сандалии, тапочки, сапоги, галоши",15,16 610 963.20,Запрос ценовых предложений,Закупка состоялась
73701209-ЗЦП3,152012.300.000004,Ботинки,14619693-1 Повторные государственные закупки одежды для АСО согласно технической спецификации,Ботинки,82,15 571 800.00,Запрос ценовых предложений,Закупка состоялась
74169933-ОК2,152012.300.000004,Ботинки,14391288-1 Государственные закупки форменного обмундирования для ДП города Астаны,Ботинки,637,17 631 249.09,Открытый конкурс,Закупка состоялась
73950018-ОК1,152013.510.000001,Ботинки,13692958-1 Форменное обмундирование для ДП ВКО,Ботинки,650,15 495 538.50,Открытый конкурс,Закупка состоялась
35902707-ОЛ-ОК1,152013.510.000005,Ботинки,"14479197-1 Приобретение перчаток, ботинок для ТОО ""Мангистауский атомный энергетический комбинат""","перчатки, ботинки",4,32 641 920.00,Открытый конкурс,Закупка состоялась
36428587-ОЛ-ОК1,152013.510.000005,Ботинки,14684375-1 Приобретение форменного обмундирования,Приобретение форменного обмундирования,3,47 448 212.32,Открытый конкурс,Закупка состоялась
72464704-ОК1,152013.510.000005,Ботинки,13424501-1 Проведение государственной закупки товара для Уральский филиал РГКП «Военно-техническая школа Министерства обороны Республики Казахстан» способом открытого конкурса,Ботинки,3757,59 937 562.49,Открытый конкурс,Закупка состоялась
80554091-ОК1,152013.510.000005,Ботинки,15542460-1 Приобретение зимних берц,Ботинки,324,18 144 000.00,Открытый конкурс,Закупка состоялась
