Код ТРУ
281314.900.000131
259411.900.000175
259411.900.000180
259411.900.000143
259411.900.000179
259411.900.000207
259411.900.000178
259411.900.000151
259411.900.000152
259411.900.000182
259411.900.000153
259411.900.000188
259411.900.000196
259411.900.000177
259411.900.000145
259411.900.000185
259411.900.000147
259411.900.000148
259411.900.000149
259411.900.000194
259411.900.000184
259411.900.000193
259411.900.000183
259411.900.000195
259411.900.000154
259411.900.000142
259411.900.000187
259411.900.000186
259411.900.000198
259411.900.000214
259411.900.000077
259411.900.000076
259411.900.000067
259411.900.000065
259411.900.000069
259411.900.000079
259411.900.000116
259411.900.000109
259411.900.000113
259411.900.000107
259411.900.000112
259411.900.000114
259411.900.000115
259411.900.000101
259411.900.000209
259411.900.000210
259411.900.000211
259411.900.000212
259411.900.000213
259411.900.000089
259411.900.000087
259411.900.000084
259411.900.000081
259411.900.000083
259411.900.000095
259411.900.000085
259411.900.000080
259411.900.000156
259411.900.000157
259411.900.000155
259411.900.000159
265170.900.000001
265166.990.000025
265165.000.000011
281141.900.000092
302040.300.000414
271232.900.000001
271232.900.000003
259929.490.000349
273213.700.000131
273213.700.000314
273213.700.000315
273213.730.000053
273213.730.000054
273213.700.000038
273213.730.000050
273213.730.000023
273213.730.000152
273211.300.000010
273211.300.000011
273211.300.000012
273211.300.000007
273211.300.000008
273213.700.000125
273213.700.000126
273213.700.000170
273213.700.000343
273213.730.000162
273213.700.000180
273213.700.000181
273213.700.000163
273213.700.000164
273213.730.000025
273213.730.000056
273213.730.000153
273213.700.000054
273213.700.000338
273213.730.000157
273213.700.000340
273213.730.000159
273213.700.000341
273213.730.000160
273213.700.000342
273213.730.000161
273213.700.000344
273213.730.000164
273213.700.000346
273213.730.000165
273213.700.000347
273213.700.000348
273213.700.000349
273213.730.000168
273213.700.000033
273213.730.000169
273213.700.000197
273213.700.000205
273213.700.000202
273213.700.000193
273213.700.000283
273213.730.000130
273214.000.000034
273213.700.000115
273213.730.000170
273213.700.000318
273213.730.000119
273213.730.000012
273213.700.000091
273213.730.000014
273213.700.000089
273213.700.000088
273213.730.000088
273213.730.000121
273213.700.000142
273213.700.000143
273213.700.000144
273213.700.000145
273213.700.000146
273213.700.000147
273213.700.000150
273213.700.000151
273213.700.000152
273214.000.000044
273213.730.000175
273213.700.000357
273214.000.000097
273214.000.000088
273214.000.000069
273214.000.000051
273214.000.000074
273214.000.000052
273214.000.000020
273214.000.000070
273214.000.000045
273214.000.000049
273214.000.000073
273214.000.000047
273214.000.000080
273214.000.000053
273214.000.000071
273214.000.000078
273214.000.000066
273214.000.000067
273214.000.000077
273214.000.000061
273214.000.000068
273214.000.000072
273214.000.000093
273214.000.000059
273214.000.000065
273214.000.000076
273214.000.000056
273214.000.000091
273214.000.000046
273214.000.000055
273214.000.000054
273214.000.000079
273214.000.000082
273214.000.000087
273214.000.000075
273214.000.000060
273214.000.000092
273214.000.000084
273213.700.000178
273213.700.000160
273213.700.000200
273213.700.000198
273214.000.000096
273214.000.000057
273214.000.000085
273214.000.000095
273214.000.000081
273214.000.000083
273214.000.000099
273214.000.000086
273213.700.000141
273213.700.000313
273213.700.000132
259312.700.000008
259312.700.000010
273213.730.000092
273213.700.000294
273213.700.000107
273213.730.000095
273213.700.000148
273213.700.000149
273213.700.000117
273213.700.000092
273213.730.000015
273213.700.000190
273213.700.000191
273213.730.000103
273213.730.000011
273213.730.000079
273213.730.000080
273213.730.000081
273213.730.000069
273213.730.000070
273213.700.000060
273213.700.000062
273213.730.000067
273213.700.000063
273213.730.000010
273213.700.000026
273213.700.000024
273213.730.000003
273213.700.000025
273213.730.000037
273213.700.000027
273213.730.000038
273213.700.000028
273213.730.000005
273213.730.000006
273213.700.000020
273213.730.000033
273213.730.000034
273213.700.000016
273213.730.000001
273213.700.000333
273213.730.000149
273213.730.000002
273213.700.000071
273213.730.000075
273213.700.000358
273213.700.000359
273213.700.000185
273213.700.000188
273213.700.000196
273213.730.000045
273213.730.000064
273213.730.000046
273213.700.000081
273213.730.000084
273213.730.000052
273213.730.000049
273213.700.000187
273213.700.000184
273214.000.000007
263021.200.000006
263021.200.000008
282216.900.000010
282216.900.000017
282216.900.000008
282216.900.000012
282216.900.000015
282216.900.000004
282216.900.000013
282216.900.000016
282216.900.000011
282216.900.000020
282216.900.000018
282216.900.000024
282216.900.000026
282216.900.000025
282216.700.000012
282216.700.000015
282216.700.000010
282216.700.000004
282216.700.000016
282216.700.000011
282216.700.000007
282216.700.000014
282216.700.000009
282216.700.000013
282216.700.000008
282216.700.000006
282216.700.000005
282216.700.000001
282912.900.000000
271232.900.000005
279070.300.000014
271240.900.000066
271210.100.000001
281413.390.000102
281420.000.000013
281420.000.000032
265153.900.000083
281331.000.000100
262014.000.000020
263023.100.000001
282512.700.000006
282219.300.000089
302040.300.000699
282511.300.000026
282912.330.000003
282112.900.000013
265170.990.000016
291059.999.000097
289939.890.000008
265143.300.000007
281311.300.000003
281332.000.000396
265153.100.000021
282215.500.000048
279070.300.000018
281332.000.000213
282922.290.000002
282912.300.000011
289262.000.000165
273213.300.000001
281331.000.000193
281413.900.000057
289610.990.000005
289240.300.000006
281332.000.000065
281524.990.000036
302040.300.000384
281331.000.000153
271240.300.000014
282512.500.000002
289939.899.000037
263023.900.000034
271240.900.000019
265112.300.000006
281314.900.000073
281314.900.000059
283059.200.000000
291043.000.000000
291030.300.000008
291030.300.000011
291030.300.000013
291059.999.000082
291059.999.000076
291059.999.000073
291059.999.000070
291059.999.000069
291059.999.000068
291059.999.000067
291059.999.000063
291051.000.000003
291051.000.000002
291041.400.000000
289229.000.000002
291059.999.000092
291059.999.000090
291059.999.000080
291059.999.000078
291059.999.000074
291059.999.000072
291059.999.000059
291059.999.000057
291059.999.000056
291059.999.000055
291059.999.000053
291059.999.000046
291059.999.000042
291059.999.000034
291059.999.000030
291059.999.000024
291059.999.000020
291059.999.000018
291059.999.000013
291059.999.000012
291059.999.000011
291059.991.000004
291059.991.000001
291059.900.000025
291059.900.000019
291059.900.000018
291059.900.000017
291059.900.000013
291059.900.000011
291059.100.000002
291051.000.000000
291041.100.000004
291059.920.000002
291059.900.000001
282960.500.000003
291059.991.000002
291044.000.000000
291044.000.000001
291059.999.000093
291059.999.000091
291059.999.000061
291059.999.000058
291059.999.000047
291059.999.000045
291059.999.000044
291059.999.000040
291059.999.000039
291059.999.000038
291059.999.000031
291059.999.000028
291059.999.000027
291059.999.000026
291059.999.000025
291059.999.000023
291059.999.000010
291059.999.000009
291059.999.000005
291059.999.000004
291059.999.000003
291059.920.000001
291059.900.000028
291059.900.000027
291059.900.000014
291059.900.000012
291059.900.000006
291024.900.000002
291024.900.000000
289230.900.000003
289229.000.000003
289222.000.000004
291042.900.000000
291059.999.000065
291042.900.000002
291059.999.000019
291059.999.000066
291059.900.000009
291059.300.000004
281211.800.000001
291059.300.000008
291059.100.000004
291059.100.000003
291059.100.000001
291059.300.000000
205959.600.000002
201510.770.000008
201341.130.000004
244413.500.000000
244413.520.000038
244413.700.000023
244423.100.000003
244423.100.000005
244423.200.000001
244423.200.000002
244422.110.000001
244422.110.000008
244422.110.000009
244422.110.000010
244422.210.000003
244424.100.000003
244424.100.000010
244424.100.000011
244424.100.000014
244424.100.000015
244424.200.000004
244424.200.000005
244424.200.000006
244424.200.000007
244424.200.000008
244424.200.000009
244424.200.000010
244424.200.000017
244424.200.000018
244424.200.000019
244424.200.000020
244424.200.000021
244424.200.000022
244424.200.000023
244424.200.000024
244424.200.000025
244424.200.000026
244424.200.000029
244424.200.000031
244424.200.000032
244424.200.000033
244424.200.000038
244424.200.000039
244424.200.000040
244424.200.000043
244424.200.000044
244424.200.000045
244424.200.000046
244424.200.000049
244424.200.000050
244424.200.000051
244424.200.000052
242034.000.010002
242034.000.010004
242040.100.000012
242040.100.000013
243330.900.000014
241075.200.000003
241075.200.000004
243412.200.000001
243412.200.000005
242021.100.000118
242021.100.000122
242021.100.000127
242021.100.000128
242021.100.000129
242021.100.000130
242021.100.000139
242021.100.000140
242021.100.000141
242021.100.000143
242013.900.010048
242013.900.010050
242013.900.010052
242013.900.010054
242013.900.010058
242013.900.010062
242013.900.010087
242013.900.010089
242013.900.010091
242013.900.010093
242013.900.010095
242013.900.010097
242013.900.010101
242013.900.010105
242013.900.010077
241031.900.000039
241031.900.000041
241031.900.000055
241031.900.000058
241032.000.000001
241032.000.000005
241041.000.000028
241041.000.000029
242012.100.010018
242012.100.010019
243411.700.000006
241075.200.000026
241011.500.000001
241071.000.000007
241071.000.000095
242011.100.010001
242011.100.010002
242011.100.010003
242011.100.010004
242011.100.010005
242012.100.010017
242012.100.010020
242012.100.010021
242012.200.010027
242012.100.010001
231412.900.000041
231412.950.000001
231925.000.000001
231925.000.000002
232012.900.000051
232012.900.000063
232012.900.000065
232014.900.000001
232014.900.000006
232014.900.000011
232014.900.000012
232014.900.000015
233211.300.000000
233211.300.000010
234310.350.000000
235111.000.000000
235112.100.000013
235112.100.000017
235112.300.000002
235112.300.000007
235112.300.000009
235112.300.000010
235112.300.000011
235112.300.000014
235112.300.000015
235112.300.000016
235112.300.000020
235112.300.000021
235112.300.000022
235112.300.000025
235112.300.000026
235112.300.000028
235112.300.000033
235112.300.000035
235112.300.000037
235112.300.000039
235112.300.000040
235112.300.000041
235112.300.000042
235112.300.000047
235112.300.000048
235112.300.000050
235112.300.000056
235112.300.000098
235112.300.000150
235112.300.000176
235112.900.000012
236111.300.000007
237012.600.000000
237012.600.000002
237012.600.000003
237012.600.000004
237012.600.000005
237012.600.000006
236111.500.000135
236111.500.000245
236111.500.000173
236111.500.000183
236111.500.000270
236112.000.000005
236112.000.000008
236112.000.000019
236112.000.000040
236112.000.000043
236112.000.000044
236112.000.000052
236112.000.000058
236112.000.000073
236112.000.000082
236120.300.000003
236120.300.000006
236120.300.000018
236120.300.000019
236120.300.000070
236120.900.000964
236120.900.000036
236120.900.000605
236120.900.000677
236120.900.000812
236120.900.000968
236210.510.000031
236512.300.000005
237012.600.000007
237012.600.000009
237012.600.000010
237012.600.000011
237011.100.000032
237011.100.000052
237011.100.000053
237011.100.000189
239911.990.000003
239911.990.000035
239914.000.000009
239914.000.000034
239919.100.000010
239919.100.000014
239919.100.000015
239919.100.000017
239919.100.000023
222121.530.010073
222121.530.010076
222121.530.010080
222121.530.010081
222121.530.010082
141912.900.000015
141922.190.000036
141922.400.000008
152040.200.000001
143110.900.000027
141943.990.010000
142010.900.000000
151131.220.000001
151131.220.000011
141331.110.000002
141333.100.000002
141335.590.000003
141424.290.010000
141425.500.000000
141425.700.010000
141430.900.000023
152032.920.000010
152032.920.000022
152032.920.000037
152032.920.000052
152032.920.000065
152032.920.000071
152032.920.000075
152032.920.000076
139616.300.000004
141110.100.000002
141221.290.000010
141321.190.000001
141323.100.000004
141912.900.010001
141919.300.000000
141943.900.000008
152021.000.000006
152021.000.000014
152032.900.000004
