№ лота,Код ТРУ,Наименование товара,Наименование объявления,Наименование и описание лота,Кол-во,"Сумма, тг.",Способ закупки,Статус
79679268-ОК1,12.3.6,"Блок фундаментный из тяжелого бетона, марка ФБС -Т 236112.000.000062",15638302-1 Аппаратно-программный VR комплекс с учебными симуляторами виртуальной реальности,Кабинет учебный,1,34 800 000.00,Открытый конкурс,Закупка состоялась
79680023-ОК6,12.3.6,"Блок фундаментный из тяжелого бетона, марка ФБС -Т 236112.000.000062",15599584-1 Приобретение квартир для социально-уязвимых слоев населения,Квартира,1,19 649 160.00,Открытый конкурс,Закупка состоялась
79680024-ОК2,12.3.6,"Блок фундаментный из тяжелого бетона, марка ФБС -Т 236112.000.000062",15742883-1 Приобретение квартиры для социально-уязвимых слоев населения,Квартира,1,26 198 880.00,Открытый конкурс,Закупка состоялась
79681047-ОК1,12.3.6,"Блок фундаментный из тяжелого бетона, марка ФБС -Т 236112.000.000062",15795521-1 Приобретение квартиры для социально-уязвимых слоев населения,Квартира,1,26 198 880.00,Открытый конкурс,Закупка состоялась
79681048-ОК5,12.3.6,"Блок фундаментный из тяжелого бетона, марка ФБС -Т 236112.000.000062",15513842-1 Приобретение квартир для социально-уязвимых слоев населения,Квартира,1,19 649 160.00,Открытый конкурс,Закупка состоялась
79681049-ОК5,12.3.6,"Блок фундаментный из тяжелого бетона, марка ФБС -Т 236112.000.000062",15513842-1 Приобретение квартир для социально-уязвимых слоев населения,Квартира,1,19 649 160.00,Открытый конкурс,Закупка состоялась
79681055-ОК5,12.3.6,"Блок фундаментный из тяжелого бетона, марка ФБС -Т 236112.000.000062",15513842-1 Приобретение квартир для социально-уязвимых слоев населения,Квартира,1,19 649 160.00,Открытый конкурс,Закупка состоялась
79681056-ОК5,12.3.6,"Блок фундаментный из тяжелого бетона, марка ФБС -Т 236112.000.000062",15513842-1 Приобретение квартир для социально-уязвимых слоев населения,Квартира,1,19 649 160.00,Открытый конкурс,Закупка состоялась
79681058-ОК5,12.3.6,"Блок фундаментный из тяжелого бетона, марка ФБС -Т 236112.000.000062",15513842-1 Приобретение квартир для социально-уязвимых слоев населения,Квартира,1,19 649 160.00,Открытый конкурс,Закупка состоялась
79681069-ОК5,12.3.6,"Блок фундаментный из тяжелого бетона, марка ФБС -Т 236112.000.000062",15513842-1 Приобретение квартир для социально-уязвимых слоев населения,Квартира,1,19 649 160.00,Открытый конкурс,Закупка состоялась
