№ лота,Код ТРУ,Наименование товара,Наименование объявления,Наименование и описание лота,Кол-во,"Сумма, тг.",Способ закупки,Статус
72785143-ОК1,291059.999.000075,"Автомобиль специализированный, мастерская передвижная, ремонтное оборудование нефтепромыслов, трубопроводов, нефтесборных пунктов, станков-качалок, технологического оборудования водопроводов, канализации",15607887-1 Передвижная авторемонтная мастерская (спец. фургон),Автомобиль,2,49 314 000.00,Открытый конкурс,Закупка состоялась
79593268-ОИ2,291059.999.000075,"Автомобиль специализированный, мастерская передвижная, ремонтное оборудование нефтепромыслов, трубопроводов, нефтесборных пунктов, станков-качалок, технологического оборудования водопроводов, канализации",15281511-1 Автомобили для АО Шығыс Жылу,Автомобиль,1,25 500 000.00,Из одного источника по несостоявшимся закупкам,Закупка состоялась
77944225-ОК2,291059.999.000075,"Автомобиль специализированный, мастерская передвижная, ремонтное оборудование нефтепромыслов, трубопроводов, нефтесборных пунктов, станков-качалок, технологического оборудования водопроводов, канализации","14924628-1 Специальная техника для ГКП ""КТЭК""",Автомобиль,1,53 571 428.00,Открытый конкурс,Закупка состоялась
75598969-ОК3,291059.999.000075,"Автомобиль специализированный, мастерская передвижная, ремонтное оборудование нефтепромыслов, трубопроводов, нефтесборных пунктов, станков-качалок, технологического оборудования водопроводов, канализации",14134985-1 Приобретение спецтехники и автотранспорта (повторная закупка),Автомобиль,1,195 892 857.00,Открытый конкурс,Закупка состоялась
77208657-ОК4,291051.000.000005,"Автомобиль специализированный, кран-манипулятор, грузоподъемность более 10 т",15172360-1 Приобретение манипулятора (автомобиль),Автомобиль,1,26 785 714.29,Открытый конкурс,Закупка состоялась
74464152-ОК2,291051.000.000005,"Автомобиль специализированный, кран-манипулятор, грузоподъемность более 10 т",14512360-1 Приобретение специализированного крана-манипулятора (Лесовоз) (согл.тех.спец),Автомобиль,1,60 066 964.29,Открытый конкурс,Закупка состоялась
77810951-ОК1,291051.000.000005,"Автомобиль специализированный, кран-манипулятор, грузоподъемность более 10 т","14255835-1 Государственные закупки для ГУ «Отдел жилищно-коммунального хозяйства пассажирского транспорта, автомобильных дорог и жилищная инспекция Ордабасынского района» способом открытого конкурса",Автомобиль,1,49 557 503.00,Открытый конкурс,Закупка состоялась
77260463-ОК1,291051.000.000005,"Автомобиль специализированный, кран-манипулятор, грузоподъемность более 10 т","13993858-1 Бортовой автомобиль, с тросовой крано-манипуляторной установкой с монтажной люлькой для работы персонала на высоте, согласно технической спецификации.",Автомобиль,1,48 410 714.29,Открытый конкурс,Закупка состоялась
78161323-ОК2,291051.000.000001,"Автомобиль специализированный, автокран, грузоподъемность не менее 8 т, но не более 40 т","15616667-1 Специализированный, автокран, грузоподъемность не менее 8 т, но не более 40 т",Автомобиль,1,80 160 714.29,Открытый конкурс,Закупка состоялась
79452849-ОК1,291051.000.000001,"Автомобиль специализированный, автокран, грузоподъемность не менее 8 т, но не более 40 т","15042031-1 Автокран грузоподъемностью 25 тонн для ТОО ""Қарағанды Су""",Автомобиль,1,92 589 286.00,Открытый конкурс,Закупка состоялась
76626357-ОК2,291051.000.000001,"Автомобиль специализированный, автокран, грузоподъемность не менее 8 т, но не более 40 т",14752001-1 Государственная закупка товара для ГУ «Департамент по чрезвычайным ситуациям Мангистауской области Министерства по чрезвычайным ситуациям Республики Казахстан» способом конкурса,Автомобиль,1,83 928 571.42,Открытый конкурс,Закупка состоялась
75126435-ОК2,291051.000.000001,"Автомобиль специализированный, автокран, грузоподъемность не менее 8 т, но не более 40 т","14732498-1 Государственная закупка для АО ""КРЭК""",Автомобиль,1,70 000 000.00,Открытый конкурс,Закупка состоялась
73707533-ОК1,291051.000.000001,"Автомобиль специализированный, автокран, грузоподъемность не менее 8 т, но не более 40 т",14351845-1 Автомобиль специализированный автокран,Автомобиль,1,70 535 714.29,Открытый конкурс,Закупка состоялась
78136877-ОК1,291051.000.000001,"Автомобиль специализированный, автокран, грузоподъемность не менее 8 т, но не более 40 т",14350108-1 Приобретение товара автомобиль,Автомобиль,1,71 428 571.43,Открытый конкурс,Закупка состоялась
76122159-ОК2,291051.000.000001,"Автомобиль специализированный, автокран, грузоподъемность не менее 8 т, но не более 40 т","14112442-1 Государственные закупки товаров для Службы спасения г.Алматы для ГКП на ПХВ ""Служба спасения города Алматы"" Управления сейсмической безопасности и мобилизационной подготовки города Алматы",Автомобиль,3,443 472 321.30,Открытый конкурс,Закупка состоялась
