№ лота,Код ТРУ,Наименование товара,Наименование объявления,Наименование и описание лота,Кол-во,"Сумма, тг.",Способ закупки,Статус
79027459-ЗЦП1,282922.100.000001,Огнетушитель порошковый,"14760100-1 Огнетушитель автомобильный ОП-5, (согласно технической спецификации), г.Атырау",Огнетушитель,2,20 000.00,Запрос ценовых предложений,Закупка не состоялась
78990356-ЗЦП2,282922.100.000001,Огнетушитель порошковый,14759327-1 Товары для пожарной безопасности,Огнетушитель,6,34 821.42,Запрос ценовых предложений,Закупка не состоялась
79071192-ЗЦПнеГЗ1,282922.100.000001,Огнетушитель порошковый,"14759307-1 Приобретение огнетушителей ОП-3,ОП-5",Огнетушитель,50,275 000.00,Запрос ценовых предложений (не ГЗ new),Закупка состоялась
79073136-ЗЦП1,282922.100.000001,Огнетушитель порошковый,14759016-1 Огнетушитель порошковый ОП-5,Огнетушитель,10,70 000.00,Запрос ценовых предложений,Закупка не состоялась
74877871-ЗЦП1,282922.100.000001,Огнетушитель порошковый,14758258-1 Приобретение огнетушителя ОП-10,Огнетушитель,10,96 000.00,Запрос ценовых предложений,Закупка не состоялась
78816086-ОИ4,282922.100.000001,Огнетушитель порошковый,14755561-1 Приобретение товаров для автомобиля,Огнетушитель,1,4 000.00,Из одного источника по несостоявшимся закупкам,Закупка состоялась
78583126-ЗЦП2,282922.100.000001,Огнетушитель порошковый,14754636-1 Закуп продуктов питания,Огнетушитель,23,92 000.00,Запрос ценовых предложений,Закупка состоялась
36600297-ОЛ-ЗЦП1,282922.100.000001,Огнетушитель порошковый,"14753021-1 закуп огнетушителей ОП,ОУ",закуп огнетушителей,3,151 380.00,Запрос ценовых предложений,Закупка состоялась
79068919-ЗЦП1,282922.100.000001,Огнетушитель порошковый,14752943-1 Приобретение огнетушителя ОП-5,Огнетушитель,2,16 000.00,Запрос ценовых предложений,Закупка не состоялась
78795494-ЗЦПнеГЗ2,282922.100.000001,Огнетушитель порошковый,14752464-1 Заряженный огнетушитель ОП-5,Огнетушитель,10,55 000.00,Запрос ценовых предложений (не ГЗ new),Закупка не состоялась
79062377-ЗЦП1,282922.100.000001,Огнетушитель порошковый,14752084-1 Приобретение огнетушитель порошковый ОП-5,Огнетушитель,68,510 000.00,Запрос ценовых предложений,Закупка не состоялась
78886640-ОИ3,282922.100.000001,Огнетушитель порошковый,14750724-1 Приобретение хозяйственных товаров,Огнетушитель,5,30 000.00,Из одного источника по несостоявшимся закупкам,Закупка состоялась
79052065-ЗЦП1,282922.100.000001,Огнетушитель порошковый,14749948-1 Приобретение прочих запасов Хоз.товары,Огнетушитель,2,16 000.00,Запрос ценовых предложений,Закупка не состоялась
78737493-ЗЦП2,282922.100.000001,Огнетушитель порошковый,14749689-1 Приобретение комплектующих для служебного автомобиля/,Огнетушитель,3,15 537.00,Запрос ценовых предложений,Закупка не состоялась
76822962-ЗЦП2,282922.100.000001,Огнетушитель порошковый,14749188-1 Средства индивидуальной защиты(ТБ.101),Огнетушитель,43,236 500.00,Запрос ценовых предложений,Закупка состоялась
78860636-ЗЦП2,282922.100.000001,Огнетушитель порошковый,"14748482-1 Приобретение огнетушителей для филиала ""Батысгеодезия""",Огнетушитель,10,64 285.70,Запрос ценовых предложений,Закупка состоялась
78913766-ОИ3,282922.100.000001,Огнетушитель порошковый,14748249-1 приобретение запстных частей для автотранспорта,Огнетушитель,5,26 250.00,Из одного источника по несостоявшимся закупкам,Закупка состоялась
75747033-ЗЦП2,282922.100.000001,Огнетушитель порошковый,14747396-1 Приобретение огнетушителя порошковый,Огнетушитель,2,16 000.00,Запрос ценовых предложений,Закупка не состоялась
77624335-ЗЦП2,282922.100.000001,Огнетушитель порошковый,14747168-1 Приобретение хозяйственных товаров,Огнетушитель,3,18 000.00,Запрос ценовых предложений,Закупка состоялась
78952282-ЗЦП1,282922.100.000001,Огнетушитель порошковый,14747123-1 Приобретение порошкового огнетушителя,Огнетушитель,5,50 000.00,Запрос ценовых предложений,Закупка не состоялась
78203500-ЗЦП1,282922.100.000001,Огнетушитель порошковый,14746876-1 Приобретение огнетушителей для школ отдела образования,Огнетушитель,20,130 000.00,Запрос ценовых предложений,Закупка не состоялась
79053278-ЗЦП1,282922.100.000001,Огнетушитель порошковый,14746591-1 Приобретение огнетушителей порошковых ОП-5,Огнетушитель,10,50 000.00,Запрос ценовых предложений,Закупка не состоялась
79052234-ЗЦП1,282922.100.000001,Огнетушитель порошковый,14746548-1 Товары для зоологического парка,Огнетушитель,10,77 000.00,Запрос ценовых предложений,Закупка не состоялась
78996586-ЗЦП1,282922.100.000001,Огнетушитель порошковый,14745399-1 Приобретение огнетушитель для садика,Огнетушитель,2,16 000.00,Запрос ценовых предложений,Закупка не состоялась
78940323-ЗЦП2,282922.100.000001,Огнетушитель порошковый,14740584-1 Услуга по заправке и поверке огнетушителей,Огнетушитель,1,300 000.00,Запрос ценовых предложений,Закупка состоялась
79049356-ЗЦП1,282922.100.000001,Огнетушитель порошковый,14744224-1 Приобретение прочих запасов (Огнетушитель для газели),Огнетушитель,1,7 000.00,Запрос ценовых предложений,Закупка не состоялась
78991262-ЗЦП1,282922.100.000001,Огнетушитель порошковый,14743976-1 Приобретение огнетушитель порошковый ОП-5,Огнетушитель,30,300 000.00,Запрос ценовых предложений,Закупка не состоялась
73071772-ЗЦП1,282922.100.000001,Огнетушитель порошковый,14743349-1 ЭГЗ способом запроса ценовых предложений/огнетушитель,Огнетушитель,40,248 000.00,Запрос ценовых предложений,Закупка не состоялась
