№ лота,Код ТРУ,Наименование товара,Наименование объявления,Наименование и описание лота,Кол-во,"Сумма, тг.",Способ закупки,Статус
77464625-ОК2,291022.300.000018,"Автомобиль легковой, класс С, механическая трансмиссия, объем до 2000 куб.см","14251017-1 Приобретение автомобиля для КГП на ПХВ ""Каркаралинская районная ветеринарная станция"" Управления ветеринарии Карагандинской области",Автомобиль,2,15 982 142.86,Открытый конкурс,Закупка состоялась
78166831-ОИ2,291022.300.000018,"Автомобиль легковой, класс С, механическая трансмиссия, объем до 2000 куб.см",14337915-1 Приобретение легокового автомобиля,Автомобиль,1,16 890 000.00,Из одного источника по несостоявшимся закупкам,Закупка состоялась
78474084-ОК2,291022.300.000018,"Автомобиль легковой, класс С, механическая трансмиссия, объем до 2000 куб.см",14745635-1 Приобретение транспортных средств (согласно технической спецификации),Автомобиль,1,29 607 857.14,Открытый конкурс,Закупка состоялась
80251744-ОИ2,291022.300.000018,"Автомобиль легковой, класс С, механическая трансмиссия, объем до 2000 куб.см",15382962-1 Автомобиль легковой 5-местный,Автомобиль,1,22 190 000.00,Из одного источника по несостоявшимся закупкам,Закупка состоялась
80539260-ОК2,291022.300.000018,"Автомобиль легковой, класс С, механическая трансмиссия, объем до 2000 куб.см",15586720-1 Приобретение автомобилей для Государственного учреждения,Автомобиль,10,76 250 000.00,Открытый конкурс,Закупка состоялась
80681701-ОИ2,291022.300.000018,"Автомобиль легковой, класс С, механическая трансмиссия, объем до 2000 куб.см",15586108-1 Микроавтобус для перевозки детей,Автомобиль,1,15 440 000.00,Из одного источника по несостоявшимся закупкам,Закупка состоялась
80851726-ОИ2,291022.300.000018,"Автомобиль легковой, класс С, механическая трансмиссия, объем до 2000 куб.см",15666200-1 Микроавтобус для перевозки детей,Автомобиль,1,15 440 000.00,Из одного источника по несостоявшимся закупкам,Закупка состоялась
73007144-ОК1,291059.991.000000,"Автомобиль специализированный, технической помощи","13452681-2 Приобретение вакуумной машины на шассси для КГУ ""Экибастуз-сервис""",Автомобиль,1,50 178 571.43,Открытый конкурс,Закупка состоялась
75867366-ОК1,291059.991.000000,"Автомобиль специализированный, технической помощи",13887363-2 Приобретение специальный техники,Автомобиль,1,55 299 107.14,Открытый конкурс,Закупка состоялась
76905306-ОК1,291059.991.000000,"Автомобиль специализированный, технической помощи","14198454-1 Государственная закупка для ГУ ""Отдел жилищно-коммунального хозяйства, пассажирского транспорта, автомобильных дорог и жилищной инспекции Макатского района""",Автомобиль,1,111 607 142.86,Открытый конкурс,Закупка состоялась
